cd_cliente,qtd_contratacoes_12m,vlr_contratacoes_12m
T13935,2,0.00840771473583952
T14475,4,13116.245180778
T19482,1,561.025785035731
T13777,1,0.00420385736791976
T31424,1,4740.67313837364
T07682,2,85589.1235147707
T15900,2,12697.915130239
T14622,2,3733.53821331163
T28165,3,19055.2699004509
T14190,2,28710.0337013396
T25978,5,17999.1726486247
T15688,2,996.608466212738
T16015,1,1180.46837205608
T07650,1,63.8986319923804
T16567,1,703.872858397645
T04467,1,224.221140432736
T34103,3,28084.04150454
T16590,1,0.00420385736791976
T17299,1,164.223688077785
T19654,5,41228.47354897
T34636,1,835.970668469788
T35116,1,4676.97208767755
T16649,3,1698.56436565061
T12969,2,13454.9415611966
T15331,4,8389.44477171854
T09800,1,984.71995757626
T06449,6,37197.7184158891
T16208,2,562.228088242957
T07912,1,97.2982787805028
T11806,2,5436.40732890699
T15517,1,0.00420385736791976
T16878,4,12040.5747690468
T12817,1,0.00420385736791976
T14119,2,85198.8247851609
T29133,3,2497.19216912117
T16279,1,7922.93851574312
T27782,3,43132.7074324887
T17812,1,234.533202556243
T19828,4,45330.4798605798
T13481,1,0.00420385736791976
T16326,2,0.00840771473583952
T16072,1,4650.30702039284
T13630,2,0.00840771473583952
T07885,1,1267.32426913467
T10698,2,0.00840771473583952
T60696,3,14558.5886437113
T14167,2,60029.0905855018
T13659,1,0.0126115721037593
T25256,2,7503.24221155948
T29192,1,6703.79885975955
T13937,4,11707.7974198023
T09514,2,2673.22449254544
T47857,7,171972.557471495
T16588,1,5999.98065150769
T10047,5,81766.5013599755
T10967,2,11870.4824960834
T10041,3,11507.3154619262
T17348,2,135.280130099658
T15086,2,22817.7138370243
T31787,1,1491.81866029632
T16250,1,21018.5637761315
T15122,2,0.016815429471679
T32848,2,13901.8704534096
T15173,2,317.807413157366
T32650,3,3029.10624188405
T12690,3,63296.0006309743
T16194,3,0.0126115721037593
T15854,2,40108.0110369836
T35509,1,2165.81890823752
T15456,3,100.278813654358
T37248,1,0.00420385736791976
T16411,4,75970.180782514
T16235,4,150001.172607495
T09190,3,5530.67462652523
T23280,2,18900.4082027315
T06661,2,0.00840771473583952
T36084,3,14264.0495810854
T16698,2,0.00840771473583952
T22629,2,0.00840771473583952
T22782,2,715.773978606226
T48771,1,399.248741946075
T43474,6,1424.26267239385
T16800,1,201.47827207229
T14511,2,0.00840771473583952
T17436,2,7096.03136375856
T13661,2,0.00840771473583952
T09092,1,818.474214104506
T21528,1,675.316055297366
T09428,3,11179.351529368
T14466,2,142.233310186197
T16696,2,0.00840771473583952
T21668,1,7634.33950357806
T12953,1,0.00420385736791976
T16544,4,489.156639473775
T33319,1,57592.2826236134
T17275,5,9571.00614669028
T31489,1,6853.96064494164
T28442,1,4138.16789268865
T28938,2,1415.51864906857
T16523,2,0.00840771473583952
T17816,3,47540.1281857352
T16603,1,5586.53548323014
T17146,5,26079.6423115159
T09979,1,0.00420385736791976
T10944,4,28299.0519934797
T60795,5,25053.392447002
T14588,1,8639.74664326185
T18038,2,8490.90066543592
T29727,1,8720.99039075427
T32403,2,16961.7657466563
T15868,2,54609.721490507
T10859,6,23132.5407153079
T50630,2,0.00840771473583952
T25103,1,1348.67731691865
T10415,1,0.00420385736791976
T12183,2,11583.1572527009
T13830,1,0.00420385736791976
T29119,2,5032.81179844249
T15172,3,17649.2729883207
T37041,4,46735.5435163743
T16602,1,14729.2820682783
T16677,3,37135.3163571197
T39793,1,0.00420385736791976
T21961,4,5345.88146434621
T39941,2,8228.24786094566
T13017,3,17165.762129292
T17997,5,5641.38321030939
T31188,4,21139.3700253134
T53658,3,100165.435621145
T31130,3,52443.2383728053
T39903,3,9581.91515656003
T16582,2,805.467479408162
T16755,1,0.00420385736791976
T14472,2,9574.26834000778
T36286,1,0.00840771473583952
T14398,5,25161.3559119249
T37238,1,533.906701155281
T20563,2,0.00840771473583952
T22870,2,296.21640171573
T51217,1,4641.15942676025
T49295,1,62.0405270357598
T52637,1,1155.72026373113
T17085,2,0.00840771473583952
T26902,3,29154.8312378671
T30925,2,6801.87905601048
T13825,2,0.00840771473583952
T13875,3,33139.4322209056
T47387,2,0.00840771473583952
T09981,2,331.781035048331
T14744,3,0.0210192868395988
T25951,2,8473.408414928
T25719,1,6689.87988801436
T15011,1,0.00420385736791976
T20957,2,0.00840771473583952
T35453,1,34.2698452632819
T34551,1,698.113573803595
T33230,1,1529.36331044921
T45321,1,0.00420385736791976
T33437,1,3310.17614550317
T17274,2,13225.146105894
T45686,2,15060.8360950288
T25254,1,1037.46995982892
T41096,2,28801.5138415229
T10219,5,7330.56877017217
T16528,1,7587.09655447737
T61402,6,9963.5791631361
T15138,2,0.00840771473583952
T36732,2,47572.1531711641
T48119,3,1081.0303298753
T35769,2,9757.98951855798
T19751,2,7157.34462346967
T27211,1,2331.41725767462
T57320,3,479.344836377051
T60502,2,191.746342265556
T11564,1,23606.5340412555
T12595,1,31336.1791952217
T14449,2,7929.61844510074
T38667,2,4734.3883716086
T16237,1,1472.64066298387
T48647,1,948.537357210575
T29393,1,1662.20520327547
T24898,2,27174.1922466864
T43739,1,13854.0810028511
T49594,4,209070.69911791
T42836,1,7749.18888686963
T13833,2,0.00840771473583952
T27744,2,0.00840771473583952
T35043,2,437.213777835759
T57767,1,0.00420385736791976
T35463,4,3314.06891742586
T53095,1,328.59030730608
T24389,2,11453.56494162
T16961,2,0.016815429471679
T15045,4,20418.0427511242
T42060,2,14241.8027678944
T16898,3,3487.92364273355
T50320,1,6431.06100144365
T21883,2,5949.45869366002
T26584,1,8315.03649630636
T54282,2,0.00840771473583952
T49804,1,989.272735105718
T52926,4,47210.2094595009
T29941,3,39281.9698796168
T32772,1,10398.577508139
T34593,1,9583.50841850247
T14772,4,1626.91382067179
T16313,2,0.00840771473583952
T50901,1,2488.44394193853
T12357,4,2743.0883981429
T16236,2,0.00840771473583952
T30730,1,707.071993854632
T42892,4,211796.408769694
T15927,3,2230.8189508603
T24293,1,1316.7616317814
T36224,2,166.905749078518
T53755,2,626.664813978431
T38256,1,3389.98637763313
T45940,1,180.454781375324
T37134,3,33896.8706298853
T21576,1,0.00420385736791976
T48195,1,49.7148172330191
T46988,26,127793.291339548
T41352,12,24147.915200811
T15035,2,26897.8516826062
T16976,3,1655.50425463101
T76663,2,8220.84066426338
T16867,3,1578.15748291865
T50142,3,1033.15680216943
T51053,1,4894.65622990317
T36053,1,3588.13099081266
T36359,1,5381.89170655981
T28477,1,2782.09599065983
T60449,5,10059.1370449663
T75243,1,4519.6763565421
T11910,2,0.00840771473583952
T12870,1,12548.9892791231
T16639,1,11338.6062580369
T48850,2,1257.69743576213
T23177,1,1353.59583003912
T53010,1,481.58969621152
T37445,2,28638.7236688076
T26323,1,25628.9972093896
T46457,2,14250.0423283355
T50413,1,1448.40122140044
T51665,1,718.329923885921
T15159,7,51403.7463575824
T29632,1,1944.15791694185
T38002,1,11151.8540983244
T58470,2,20782.988016948
T37932,7,4778.93244427908
T56291,2,37697.5696685068
T53335,1,0.00840771473583952
T35077,1,4534.13762588774
T16736,2,0.00840771473583952
T45067,2,39041.0173868598
T37736,1,33.8410518117541
T55602,1,4932.63387736496
T28036,1,932.537476068272
T31146,1,6019.65050013218
T58044,4,62048.4344914689
T50869,4,17751.8807389568
T53763,2,83093.8735277535
T51620,1,138.559138846635
T44252,1,942.239978873431
T51925,1,342.547113767574
T16606,2,204.492437805089
T17312,2,32560.6493423478
T57338,1,8738.22620596274
T12757,1,3694.49278607839
T17230,6,12048.9152220648
T31446,2,23.4028739672093
T44012,2,318.942454646704
T17321,1,170.689220709646
T24410,2,26092.9054815117
T39299,5,26914.6629082205
T54815,1,5668.39719775565
T42559,3,3311.55501071985
T47723,1,0.00420385736791976
T54038,2,25441.8793140862
T21777,1,30003.4765363012
T50945,2,578.429754538919
T51535,1,1550.72310973561
T42223,2,0.00840771473583952
T16834,1,0.00420385736791976
T35530,2,11547.9289279577
T79557,1,2654.95452842446
T42748,2,53881.1425623581
T54252,1,393.367545488356
T54276,1,463.344955234748
T37047,1,0.00420385736791976
T40143,1,365.395078562218
T31660,2,24254.9243901114
T61653,3,219.239569451751
T81545,1,539.455792880935
T14063,5,114538.571097071
T15526,2,0.00840771473583952
T17217,2,0.00840771473583952
T53699,2,0.00840771473583952
T31851,1,267.407367173376
T57883,2,4228.30700237158
T43055,1,4198.90102008298
T45963,2,6942.02304908482
T51706,10,146547.401102018
T54060,2,101.817425451017
T52521,1,7217.33787196726
T15467,1,1011.72974116514
T33358,1,14180.783778199
T38502,3,2920.9115648059
TA2900,1,28.712345822892
T39512,2,64.6301031743984
T60204,1,0.00420385736791976
T54280,2,0.00840771473583952
T40339,6,730571.703676311
T24051,3,5596.64996405736
T47026,1,17769.4991051858
T49634,2,47.9281778516532
T74756,8,15256.5634902218
T30443,1,342.589152341253
T34693,2,13431.3200866463
T58233,1,34.3034761222252
T59920,1,0.00420385736791976
T76547,1,31969.3011341173
T52235,1,2414.81338013941
T47953,6,199197.994739496
T55103,1,1161.47534446781
T34101,2,1260.45937005285
T20520,1,1753.45833516091
T57886,4,53492.6262682723
T13047,1,76108.8071830785
T20994,1,3175.8797180276
T35866,1,11150.912434274
T46162,1,458.61141183847
T17987,3,206.014234172276
T25106,1,2942.70015754383
T45525,2,0.00840771473583952
T55554,1,3032.42728920471
T45331,1,3441.35751466911
T50734,2,460.255120069327
T75062,4,244061.577385366
T33327,1,923.032554559406
T51294,1,19621.3361104708
T59746,1,2459.290191092
T51907,1,0.00420385736791976
T25567,2,0.00840771473583952
T41917,1,17202.6719969823
T98826,5,30096.116941118
T53698,1,3755.07877846485
T61412,4,29092.1895592277
T60311,6,60650.6813436371
T42415,1,5222.50245445513
T44286,1,283.772983906688
T37701,1,619.093666858807
T74125,1,59.2827966024044
T84915,1,0.00840771473583952
T14333,1,119.864585131496
T15644,2,0.00840771473583952
T27027,1,3363.15315605369
T54522,2,939.124920563803
T33271,2,4019.12726360126
T58720,3,5455.32468706263
T61135,2,2370.78638192519
T51026,2,33646.169391892
T52576,2,33467.4844344686
T74369,1,8529.42481435553
T59649,1,698.99217999349
T15648,2,0.00840771473583952
T35324,1,19134.9035705714
T45551,3,4773.73227271496
TA2904,1,98.1180309672472
T43025,1,373.996170736981
T61788,1,32663.3411701313
T54284,2,0.0126115721037593
T42463,2,5079.89079710582
T45453,4,17900.4997084849
T52565,1,5712.34432267988
T58122,2,21979.1283692717
T75419,2,28842.0348226923
T52473,2,0.00840771473583952
T36994,1,3875.02323688634
T60409,1,1609.69061703542
T75344,2,24241.8125589808
T79368,1,95.9698598522402
T57161,3,238.291451043164
T50372,2,102374.100243677
T74367,1,3281.69501183551
T42299,2,4276.53365409636
T35094,2,24085.9839740668
T60309,3,2162.86780036525
T24024,1,5436.84453007326
T22643,2,9920.47280968545
T48579,1,0.00420385736791976
T46923,4,15899.2534084867
T22211,2,69925.9797553532
T26230,2,3839.40395340796
T48689,1,204.021605779882
T57936,3,66331.3958434808
T48463,1,1222.89790447049
T53615,4,36101.3103757619
T79240,1,2442.82368178186
T46506,2,0.00840771473583952
T51693,4,13184.9782487435
T60458,1,2061.31521792841
T58447,4,0.016815429471679
T33051,9,32457.7010792648
T57205,2,3842.76703930229
T98884,1,612.25819477857
T57410,1,15159.3871233049
T75322,1,7092.71452029527
T61431,1,1667.56512141957
T45259,1,1388.74428149229
T49600,1,122.143075824909
T42063,2,17845.7150392662
T78381,3,10374.2497855508
TAAONL,1,0.00420385736791976
T28317,2,4656.68427201997
T45675,1,1289.78547905146
T32013,2,6135.41632432996
T56590,2,3399.81920001669
T34142,7,65006.0583426688
T61658,6,14264.5666555416
T61384,4,223536.533852656
T57154,2,27665.6820269994
T53516,1,1050.96434197994
TB1914,1,2969.65108712957
T75437,1,2556.30260757149
T15650,2,0.0210192868395988
T46472,3,156679.210229304
T46585,2,2762.63213104636
TA4208,1,1429.07188522275
T47965,1,12099.7608769298
T76352,4,23173.4148204961
T57392,3,4164.58072853129
T56348,5,8088.61253461283
T50750,3,20840.3202237317
T57362,7,5448.57749598712
T76289,1,3363.08589433581
T76441,3,15436.6357205766
T54271,2,6510.11453924738
T43087,2,19236.9395966055
T60625,3,3543.82653801215
T78573,1,14558.5802359966
T79572,3,14454.9257248758
T60887,1,1423.34202763027
T51945,1,49514.335275143
T76192,2,45675.4147653323
T44001,1,0.00420385736791976
T46740,1,58.9002455819238
T73774,2,2527.02694486129
T41056,1,587.993530050937
T24711,4,13126.7085817668
T57160,2,0.00840771473583952
T48590,2,31498.477516625
T25606,2,13384.0687298308
T27075,1,1314.65549924007
T51729,1,15218.2495341705
T60480,1,19227.5734023898
T57422,1,4246.39199676837
T54216,1,3989.73809674213
TA0675,2,0.00840771473583952
T54151,1,4720.20455684924
T55622,7,157636.037593244
T73876,3,1692.92699292023
T75515,3,1538.93549367596
T39822,1,609.93346165411
T61862,1,5113.50904447708
TA2551,2,245.295077418118
T59297,15,17472.7404058696
T76118,2,10745.1477134076
T73768,1,2581.52154792164
T45630,1,383.669246540565
T53339,1,1597.76847754
T42091,2,15604.5125607071
TA3030,1,87.8353958453155
TB3493,4,12533.5737341549
T31823,4,6871.19225629274
T47344,2,3302.07951621256
T43110,1,4171.79454777464
T57062,1,150.418220481537
T42247,2,2225.48005200304
T61950,2,4379.7887987672
T75274,1,15103.7448671832
T57177,4,45204.9400680016
T55737,1,56109.7586919576
TB2448,2,8878.49211090075
T98821,3,144.259569437534
T17432,2,4899.75971274783
T47243,1,0.00420385736791976
T53751,2,0.00840771473583952
TAAJZ3,3,1022.30244244546
T53366,2,210.911728005902
T82275,1,27185.9588434592
T60579,1,557.074159109887
T57095,2,2263.54177661219
T54187,4,1502.20639185245
T58232,2,0.00840771473583952
TA0719,9,12409.3875836492
T76859,2,0.0252231442075186
T55117,3,15091.2594108004
T53401,1,0.0462424310471174
T62310,1,172.35815208471
T84071,1,976.917598301401
T89937,2,0.00840771473583952
T61371,3,1870.61984000483
T60330,2,5676.01458730632
T76719,6,101473.667626327
T50477,1,161.848508664911
T50749,2,22895.4389558998
T76590,6,107792.489839905
T49920,1,4235.7352183407
T32126,1,8817.38484020067
T57165,2,3887.13454996332
T51367,4,88037.8662277266
T27008,1,1568.50963025928
T35673,11,107616.125411748
T55216,2,49749.6251720255
T60481,1,3066.25993330173
T59274,2,0.00840771473583952
T54649,1,7883.03970546419
TB2401,4,34042.4081719627
T54306,3,42775.2492366371
T58490,1,51.2071865986306
T74810,2,7288.60166206823
T78458,1,22175.385450493
T52685,1,0.00420385736791976
T75004,12,1024174.5378394
TB1925,1,3045.55593576472
T61924,1,0.00420385736791976
T84693,3,61943.317037984
T76679,4,7957.88097818527
T53501,1,147.13921173456
T53544,3,2502.74546470419
T54131,2,200.149853144028
TAABP6,4,5158.70891889695
TB3641,1,892.436880635686
T43841,1,282.684184848396
T53560,2,0.00840771473583952
T43460,2,0.00840771473583952
T57397,1,0.00420385736791976
T47526,2,2622.62266140779
T84219,1,255.687012831616
T75868,5,27242.6772870672
T59082,6,18665.3663334337
T62472,4,165317.851258078
TB6627,3,1034.90981069185
TA2805,1,44.2582103694592
T55970,4,22654.4864631428
T49432,4,7148.02887554236
T55031,1,2258.63167120646
TB1687,1,2401.64689886309
T54237,2,0.00840771473583952
T92154,1,0.00420385736791976
T61585,3,7079.45975801422
T81709,2,29887.0128717803
T54615,1,236.088629782374
T58381,2,248.84733689401
TA8467,2,7505.64261411656
T77293,1,1450.372830506
T60517,3,18614.3861551329
T53570,1,6087.22750732149
T77096,1,2797.62083591955
TB0123,1,989.550189692
TB4410,1,3634.79801145393
T74473,2,14371.9710074346
T62003,3,10402.8360156527
T78810,3,12151.0815676773
T50754,3,75613.7315124307
T55539,1,29537.4369084936
T77352,1,2007.46380504536
T53023,1,4493.67970257888
T50331,1,35693.6959576537
T74551,2,47853.3491905042
T60617,7,184529.601341335
T29465,2,3213.83214234518
T50010,2,185.112655338979
T56033,2,26408.2452303941
T60726,2,0.00840771473583952
T60161,2,41818.3083685481
T74380,2,2607.42992088013
TB3668,1,1472.21607338971
T76189,1,21800.5611198546
T60327,3,14106.5646763684
T77520,2,4134.47690591961
TA2514,1,32.2814207282558
T55328,6,99843.3949236183
T76344,1,1438.6440684495
TB4393,2,11846.1211426363
T73765,2,14027.2547032652
TA3579,2,633.979525798611
TAAG64,1,23670.6891085474
T74600,3,9919.05190589509
T54318,1,6005.17661921443
T56396,3,33671.4850209617
TB0731,1,289.00258247238
TDC05E,2,15255.0669169988
T54102,3,22213.6069216822
T56307,1,415.79092068884
T52004,1,530.783235130917
T77568,2,36693.8777026291
T50149,4,2281.64358643845
T92201,2,922.263248661077
T76001,4,37774.126115034
T74511,5,51658.1890286331
TB0902,2,3584.26764589154
TC9008,1,63.7472931271352
TAA750,2,53675.07367804
T76115,2,8522.32870311848
T50743,5,147222.628876311
T56361,2,0.0126115721037593
TB3345,1,552.739982163562
T57546,2,0.00840771473583952
T98600,3,40757.7382124824
T76650,1,1318.3212628649
T98737,2,152423.977520491
T58228,2,0.00840771473583952
T60994,4,63948.5065561934
TAA619,1,374.651972486377
T94503,1,3137.90207056582
T75023,2,783.052511922414
T53733,5,16573.0224442727
T77178,3,26381.336339382
TB0846,1,3822.31527320736
TB4880,1,3065.56209297866
T98879,5,37996.7245665227
T73740,4,34043.383466872
T81527,1,22.5663063509933
T52694,1,0.00420385736791976
T56241,1,464.252988426219
TA2722,1,5049.35818104262
T53407,2,12950.407211471
T60518,2,4798.47617718254
T79237,2,3794.04853626547
T73839,3,16358.4365449272
T47759,2,1989.75715781168
T52361,1,5589.86914212291
T58234,2,6081.56070758954
T75857,1,832.279681700754
T62508,2,3385.05525294056
T74865,2,73082.8412226483
TB4748,1,215.073546800143
T76286,1,2183.16402373756
T74871,4,37327.7353165641
T80025,1,2118.37837784055
TA3626,1,79.0535378037311
TA2895,1,16.9877876237637
T83963,2,331.011729150002
TCAKDA,1,0.00420385736791976
T73851,7,51910.6979252946
TA6050,1,70323.5091196358
TB1823,1,2918.59103553881
T78253,5,29045.6108195912
T78391,2,68145.7932950471
T61211,2,0.00840771473583952
TB3272,1,87.8816382763626
TDC538,1,2278.23846197043
T54623,1,3017.85251571013
T57157,3,210.327391831761
T74304,6,187458.35730399
T82336,2,0.00840771473583952
T58706,3,2924.04764240237
TA3155,1,692.896586810007
T84563,1,1310.82998903527
T80295,8,30466.1993206455
TB0924,1,3763.87745193591
TD0342,1,251.365447457394
TB1362,1,4810.65895583477
T98762,1,75.1986005973487
T52184,1,606.591395046614
T61052,1,1476.70999691601
TB4345,1,4997.25557282462
T60859,1,0.00840771473583952
TB5707,4,8651.23998930574
T77335,3,9960.32537753333
T98763,1,663.532643095087
T59162,3,0.0126115721037593
T61925,5,111496.310985482
TAALX9,12,220911.678942986
TB3288,2,4839.6025138129
T77270,3,4495.76481583337
T54544,2,9709.9604481295
T77784,1,0.00840771473583952
TB3925,1,3054.07295079213
TDC1LS,1,554.543436974399
TA2656,1,323.285039307765
T76120,1,2217.48431528926
TA3307,4,753.911372647994
T53295,1,9260.57229935624
T60571,1,4487.85736012432
TAACCT,2,0.00840771473583952
T60085,2,0.0252231442075186
T62318,2,0.00840771473583952
T84428,1,9523.50255843278
T75558,4,36357.7624906345
T51839,2,58871.4954013846
T54744,2,2305.58455414875
T61024,9,3611.57169949618
T77573,1,1258.08839449735
T75488,2,20435.6232826368
TB0516,2,48752.7056203675
TC0263,1,223.346738100209
T79638,1,2717.49951834437
T76474,1,254.08113931707
T81201,3,15819.7500579446
TCAGBS,7,799.99405711513
TB1231,1,4389.55435943288
T84651,4,38959.0421681853
TDC00W,3,8078.97308966819
T74657,1,10258.8286776572
TAA637,1,317.126388263763
TB3904,1,347.541296320662
T80020,1,3489.73130140176
T78775,1,0.00420385736791976
T76842,1,51.9428616380166
TB4166,1,4734.98111549748
TDCEKK,1,462.945588784796
T55699,2,0.00840771473583952
T60633,1,0.100892576830074
T92213,2,393.901435374082
TA0689,2,0.00840771473583952
