icliente,mrr12m
T14950,120.38271
T14472,6097.481785
T13320,600.502883
T11318,536.087443
T16546,264.069337
T12464,585.461306
T13697,101.313516
T11071,1202.76314
T15062,476.946929
T11577,97.422892
T17085,405.496374
T11037,662.500454
T14264,361.423634
T09800,318.495544
T08433,1007.461855
T14012,2083.198034
T09428,1316.703303
T11806,276.460954
T25951,248.015038
T14354,1424.844155
T11271,3791.314527
T18952,161.668532
T14189,2512.547508
T13131,9.525719
T30589,529.782281
T09444,1173.946928
T19828,582.389841
T13347,3459.052986
T17094,313.148858
T12582,367.376716
T17146,660.426388
T07578,700.402735
T10090,784.294891
T31748,397.493507
T14588,216.309935
T14596,97.551943
T12505,315.801572
T18982,155.368012
T15145,493.588429
T10859,389.92752
T16230,551.344166
T25103,386.466821
T07472,506.635105
T10967,458.801757
T06937,1630.833911
T23228,1031.994794
T13724,167.238484
T16951,586.531324
T22396,456.083075
T14475,872.557264
T09016,55.271346
T16981,453.668079
T27656,700.66369
T08257,659.72364
T15900,163.16922
T14622,277.662054
T18363,873.306571
T12712,179.117435
T17212,473.440186
T15314,1540.402639
T15232,545.381617
T15045,2579.920663
T15140,337.253463
T11623,765.602018
T22884,551.074126
T12530,327.285429
T15628,120.990406
T13065,716.132931
T16103,2000.503745
T15283,355.390224
T21044,1740.010785
T12969,2336.614426
T14749,1060.084661
T09817,347.838349
T09092,1215.768808
T15532,697.17773
T09981,240.90137
T12393,206.403716
T29324,1178.306748
T16428,196.186679
T12817,132.130517
T20957,767.317013
T15583,9985.630602
T15878,339.128541
T31489,1096.995178
T11950,126.466258
T28938,500.989235
T13454,646.232228
T17816,2694.814041
T13614,315.518187
T25029,195.909984
T07826,806.745924
T10698,1470.800828
T42110,426.815536
T14650,146.704345
T15127,183.89837
T12825,436.766583
T20697,246.326017
T15737,77.000865
T15393,1973.485971
T16451,2757.191259
T28266,16.73409
T07504,188.751065
T12183,313.030262
T07543,536.257092
T29119,493.453087
T15086,2347.377061
T22247,611.286769
T29393,547.107705
T15122,209.574442
T09104,559.838166
T21961,846.166636
T29710,749.439614
T12098,393.656136
T16194,538.122142
T15055,125.036308
T22532,440.953603
T14190,660.273428
T23398,959.121996
T15688,223.269387
T15732,156.927893
T15289,437.794466
T16567,178.481961
T14398,2091.985335
T23615,405.358997
T14539,368.914463
T16472,818.75141
T13617,140.285145
T16565,2189.667391
T15753,169.404571
T21424,183.389235
T14511,1518.961017
T15135,1459.097698
T13661,309.845307
T09168,194.969834
T15550,907.308834
T12357,652.176692
T14466,444.224075
T30730,341.509131
T16597,3179.335288
T12953,2372.023172
T20966,1442.799096
T16646,922.695331
T16279,469.544139
T31587,718.707947
T13388,786.335869
T33437,1689.301866
T13481,865.351491
T18287,1090.256718
T13918,998.069906
T30893,203.957917
T07885,236.210541
T10944,1272.212939
T44144,401.658595
T15138,1894.914957
T16055,159.919041
T21852,661.366686
T22175,745.587277
T19751,467.806415
T15691,176.559006
T16732,1201.63724
T30616,741.623947
T09736,1260.133409
T12595,621.037377
T09580,270.294794
T37506,70.972996
T15172,1188.196822
T30420,549.62266
T37445,2891.822626
T16677,314.881528
T09590,1443.093116
T22754,377.390403
T31424,2389.643154
T12690,2707.50856
T17997,914.873582
T15162,191.424262
T28165,1077.605905
T15456,769.787379
T25978,933.699328
T16411,309.087365
T15747,184.478424
T16736,206.10852
T23280,383.424071
T16898,1395.260789
T23824,663.527257
T15074,201.50203
T16989,662.180234
T15998,495.129832
T17433,618.158448
T27866,186.240039
T25006,1270.51823
T21326,161.977374
T15331,299.940703
T13825,627.421312
T10179,278.683825
T16208,309.331711
T12757,622.109
T14744,1230.808897
T31446,1087.444403
T16878,768.255483
T13666,123.80304
T23296,5161.255162
T16660,474.225507
T17275,819.905089
T33230,199.646791
T15225,1652.390397
T37134,60.167976
T14431,431.640471
T34781,355.375045
T16072,433.921737
T31926,964.185768
T09979,1584.757188
T13934,241.35211
T49030,1458.721359
T15144,133.836399
T16616,3912.602811
T25256,419.858953
T23793,390.893091
T26955,192.685362
T16885,1004.121838
T17941,8826.184128
T30884,1021.793989
T10415,2013.203938
T12870,199.766381
T10041,612.756204
T38667,2153.595908
T16237,919.305929
T31787,278.915055
T41089,2569.469628
T16995,561.905571
T12915,461.072025
T23569,865.116823
T32650,174.708567
T13017,1567.742226
T23248,252.077064
T15669,154.510078
T28597,77.753044
T15837,469.421105
T26249,222.657605
T16582,1080.44577
T15865,1050.268763
T35387,48.548623
T24234,498.028491
T28250,195.478744
T34103,941.086091
T15389,567.320325
T17299,321.353889
T16880,209.56361
T17891,769.178318
T29501,157.859048
T29941,849.7019
T26902,644.151126
T16132,65.792964
T14772,617.292398
T13875,13611.998494
T16695,297.046429
T13047,206.37202
T14917,195.084623
T35866,1983.694084
T21668,116.397906
T13796,108.781862
T24293,1091.947378
T16716,237.391559
T18087,2760.534406
T38256,1000.687799
T15971,849.577174
T51811,886.540988
T15978,1113.624132
T36279,92.552544
T16603,390.766076
T36739,925.499817
T10219,536.892603
T15061,334.962604
T49954,1427.493404
T16867,1044.549407
T18038,891.916892
T38088,183.822717
T29192,475.72902
T36359,370.021797
T17319,797.414028
T26845,1112.89337
T32062,374.206818
T11564,285.457679
T15526,2015.507958
T13830,388.771794
T45609,810.084215
T17193,461.369702
T37041,309.914688
T43055,92.10415
T22665,302.79005
T19482,230.19362
T37019,334.80662
T37391,799.363887
T15159,583.58592
T23546,784.950744
T15854,343.595596
T35509,706.101667
T29956,1022.012976
T27699,111.437637
T18071,955.063456
T16015,315.523247
T36438,495.667012
T36286,882.921707
T34111,347.788288
T36084,721.888945
T16590,740.96214
T22629,696.221029
T17272,861.89119
T19463,168.40957
T32484,100.151296
T30667,139.038109
T32772,767.090965
T17136,1023.29317
T15697,593.161449
T13941,238.623208
T16926,64.643915
T14930,134.697883
T15970,126.938215
T48579,378.468303
T25719,633.601569
T15011,325.053972
T24410,126.164698
T16758,428.262924
T23632,1881.545665
T42559,685.739841
T16545,142.559398
T54038,11424.830174
T16523,548.148168
T40217,579.823737
T16863,174.145799
T41096,1441.631971
T10983,1644.788298
T16528,358.334942
T50223,1824.340975
T17243,345.052658
T22893,756.897011
T38204,242.825035
T32403,134.70714
T40143,2265.71579
T20214,126.723178
T33815,980.721621
T37851,2184.547993
T11910,585.699625
T15644,1090.74802
T14449,616.431483
T46970,897.762267
T23177,416.984007
T38369,98.863514
T49216,602.473554
T24898,876.30738
T32108,1597.893992
T37094,1210.321693
T39941,2200.75006
T15467,496.506827
T23659,228.78793
T21130,764.320123
T36826,586.473492
T31130,850.968059
T34371,97.827391
T24389,262.289527
T16062,974.183289
T38515,1405.887288
T42060,1171.721045
T35861,72.1598
T37238,485.225777
T16971,590.591969
T22870,804.979062
T19433,338.052074
T28098,1122.038657
T35116,5853.465558
T48229,266.093635
T37733,19.77931
T17405,190.171337
T20139,776.803316
T16313,351.393664
T21528,289.15505
T16397,486.528581
T16236,120.269488
T52432,219.280839
T42892,1332.776782
T15510,716.239757
T25106,101.819772
T17078,257.211779
T34551,197.343038
T45331,788.739221
T16759,305.25465
T54117,1390.876688
T17274,1327.031321
T42902,336.088048
T25254,1842.522497
T41352,893.193423
T11094,788.515724
T16621,641.129236
T53787,158.435196
T17526,326.811913
T27051,388.646386
T48119,3411.271021
T35769,753.378937
T42601,272.41863
T27211,126.257057
T35446,317.028991
T43138,544.282529
T12248,754.567389
T16127,177.762655
T16639,1978.257005
T48850,1360.231558
T26793,109.988571
T39536,2802.973208
T52933,1835.184232
T26323,3643.072919
T32848,2896.009314
T49594,1060.450447
T42836,1475.468276
T15648,471.272228
T25084,2762.627998
T27050,234.639527
T41316,2541.58147
T31846,541.561101
T36368,1610.687051
T26272,1285.465776
T16235,798.204773
T45453,440.123242
T45067,638.793119
T37736,1167.679988
T50320,468.582441
T17423,127.125132
T26584,628.792619
T19654,389.331975
T34636,1469.536114
T42308,1831.480623
T51620,131.61857
T47953,812.80479
T17436,1754.485707
T30299,833.945535
T17312,624.043972
T27897,91.338259
T20326,512.664302
T17230,622.245345
T52846,556.68819
T44012,1047.574865
T15860,170.708381
T26230,262.195022
T29133,1551.712353
T50242,428.149059
T48463,473.000606
T17152,435.0695
T62369,1580.465723
T17391,479.122247
T45686,425.872767
T25303,174.521989
T42326,94.579847
T11117,394.899696
T16976,955.264707
T56606,69.013603
T42748,23620.718516
T29964,11329.171
T50467,939.48639
T42415,209.330744
T43789,176.39771
T28477,391.605874
T40259,2486.284871
T54313,338.403025
T14063,607.775218
T16261,312.356884
T17041,251.524293
T53699,1640.926311
T33271,3482.608765
T48647,801.819932
T53762,590.213856
T30580,196.515073
T36222,323.842878
T50413,452.702067
T50702,105.020322
T15650,2850.954282
T27744,1005.077669
T31188,382.793921
T43026,100.263866
T33094,219.022198
T37248,1132.529775
T27030,254.18028
T16755,420.102396
T45722,522.733689
T46371,47.590467
T38839,315.661481
T53645,3469.116485
T20563,1951.14426
T31146,1364.35691
T22782,668.042936
T36761,550.259105
T43474,718.195354
T52235,885.147671
T51945,4123.547116
T25037,828.223463
T33320,228.771183
T20520,192.238529
T31939,145.803576
T22081,224.587476
T20994,954.563249
T55219,883.850536
T44478,463.121285
T17321,303.533467
T27075,228.819818
T33319,32086.362299
T50442,80.099847
T51553,243.21669
T17812,116.951311
T75062,1398.538694
T21576,7479.544905
T48195,673.68317
T35475,276.8162
T44400,473.846491
T15035,456.236679
T19263,494.833948
T60696,1798.277124
T43289,489.539519
T35384,565.133272
T51053,375.701657
T45259,423.269414
T53339,2512.957063
T31660,2231.763048
T41068,4350.142145
T58657,16.384695
T14333,1177.485267
T17271,553.380644
T17217,937.465798
T54053,574.565441
T34142,1050.038544
T50536,104.138972
T58144,114.350741
T34957,689.528282
T39793,4661.960644
T50741,57.741181
T51140,86.833415
T16970,238.728882
T29632,1327.413132
T35043,493.793494
T46027,170.127843
T35463,367.83219
T39903,647.371603
T31440,729.144316
T16927,1814.078858
T49410,884.98326
T47026,1083.990619
T42367,148.833042
T54414,179.400467
T21883,291.312952
T34693,2569.963845
T26313,2322.336325
T46007,1222.475901
T52637,1088.209583
T57161,133.739841
T53231,1310.961613
T30925,741.552393
T34101,1930.034865
T34643,557.766244
T38021,249.344639
T24024,3278.910581
T22643,1094.454843
T57160,701.728891
T46162,115.085082
T17325,232.067389
T32065,479.516542
T35453,2377.625661
T53435,634.137743
T55596,102.742854
T22345,672.439824
T78664,247.5145
T21777,493.015587
T50456,705.735428
T39943,101.114423
T51907,3198.11572
T16834,705.923725
T34846,52.594459
T60795,1853.14051
T43722,163.561095
T36732,3525.674356
T51145,211.220711
T45630,232.716295
T53544,3649.852024
T33428,1434.201555
T46735,958.054533
T60502,863.811251
T15319,172.186552
T21846,414.456496
T21048,813.637833
T54769,74.229772
T42247,206.438271
T53010,176.073068
T61135,364.117105
T35269,153.523236
T40977,359.744081
T53403,2240.548126
T51520,487.270077
T17062,91.21082
T33358,652.587524
T38002,154.553975
T53547,4229.423426
T37830,357.94344
T43322,626.69334
T35130,115.633966
T16961,1628.123415
T49499,253.652433
T52252,87.960032
T49634,614.934136
T58524,1075.291835
T24393,870.913674
T36994,618.971804
T30236,327.516784
T48771,745.21679
T52926,1473.372361
T57506,514.466053
T57089,171.48058
T34593,545.927718
T42299,629.636335
T35094,3441.132137
T47387,487.326559
T24288,2775.035773
T24711,492.649725
T57165,626.404318
T46923,264.328518
T17987,1617.378631
T32730,298.590222
T36224,289.932776
T53755,3306.020955
T57422,4252.061182
T22520,3351.018912
T79240,1147.900518
T33327,368.802071
T50945,969.915954
T43391,115.569443
T54071,151.599989
T25567,2812.25206
T35530,1344.773918
T61402,569.704676
T52843,542.133049
T42168,1519.573819
T54276,474.639702
T53719,130.122669
T53634,3231.473144
T37701,334.081978
T47857,113.502692
T60607,1115.184569
T15822,1293.873808
T26188,105.596007
T27027,845.520215
T56590,313.067677
T47526,643.987683
T57883,248.203724
T61384,681.575547
T41415,248.33897
T43739,575.771363
T54060,166.49762
T51665,118.924003
T17432,779.37883
T35324,763.987307
T38502,6761.687927
T53658,1193.844185
T37932,1367.331567
T53095,664.530154
T41869,1257.360156
T32634,400.738752
T50750,867.187701
T52565,4011.23362
T53381,1114.201998
T74756,670.652394
T27168,863.017235
T37593,1125.885332
T49990,255.389611
T49295,1394.256284
T55302,275.731219
T60841,527.471872
T60330,439.507582
T37194,1225.320226
T44001,882.745587
T46740,669.08731
T49571,473.701319
T30802,454.501962
T32126,938.173887
T58203,252.816924
T48590,270.00783
T21296,455.178773
T35673,2131.312894
T39299,482.992733
T54815,1298.991657
T59274,1531.224718
T23009,584.554667
TA0675,441.853314
T40020,596.216663
T51025,312.513422
T43917,819.843989
T75515,379.311636
T33051,555.74829
T37983,555.717929
T62321,31.20187
T53336,685.750764
T50142,2644.861114
T57058,403.92263
T53742,974.286884
T54318,318.204421
T42063,2455.065059
T50168,582.62663
T75243,1650.623004
T28317,265.159943
T36812,1304.0567
T30059,296.131273
T57062,546.881353
T50149,3497.672511
T58720,1689.618456
T74874,287.052592
T49107,175.806516
T46457,4065.517023
T54397,1487.515448
T52521,608.499946
T21416,115.596194
T35575,731.665274
T43130,518.735139
T54415,170.100837
T39512,342.33746
T56291,5069.27204
T49938,567.959333
T35077,306.979881
T54187,809.50518
T57211,525.489053
T54928,112.362209
T75419,3555.265308
T28036,73.28059
T43087,1445.451309
T51217,1043.768539
T49758,80.0848
T57876,443.906879
T60842,326.332916
T62003,712.470954
T43952,314.996133
T48834,219.865763
T50460,176.971807
T50901,958.040775
T37142,209.352997
T37831,438.784382
T74314,4602.405843
T51367,527.616203
T22211,551.61279
T37473,1298.515005
T45525,2220.497176
T55554,1324.113094
T59290,112.213241
T24360,201.47391
TA2896,94.762739
T46764,712.827936
T51693,2085.273297
T46988,496.502548
T76382,552.61789
T33399,384.859261
T41917,764.02782
T74148,926.666843
T53489,132.194098
T53735,694.386056
T60311,1643.446064
T54924,161.745343
T55140,1168.379584
T42091,263.160565
T56447,249.74486
T84915,567.126332
T31823,1013.104147
T45675,2592.25028
T32013,431.41946
T77568,2274.093071
T51726,331.479333
T61658,1037.437154
T75274,3784.421591
T49803,398.160643
T51706,1421.365777
T55212,0.0
T53393,238.449996
T25667,123.024699
T42079,597.449318
T45551,355.292553
T56076,2431.808329
T40380,1048.065522
T57479,105.966955
T51652,193.84072
T40339,1889.051401
T58228,2573.169141
T57362,299.765271
T58122,137.093937
T76441,1383.119831
T30009,292.348394
T52484,597.38017
T53780,4555.120856
T49804,342.107693
T76547,1689.657192
T60887,1906.5414
T73740,4012.338923
T46046,541.447008
T50754,749.508681
T50749,455.262735
T51425,336.400967
T41056,246.644385
T41149,486.951231
T74551,900.847406
T60617,4257.269886
T23438,1335.935397
T43237,340.323298
T48689,234.280871
T57936,900.694139
T60161,426.693434
T28442,802.693247
TA6191,63.083924
T47145,643.271101
T55622,2037.776781
T51535,231.183288
T78458,3545.21381
T33882,667.458783
T46332,943.765078
T76663,466.916143
T53563,1534.460648
T54252,161.371149
T60951,69.225701
T57248,336.630157
T57551,305.074054
T51682,269.931561
T57320,606.66356
T98613,57.256817
T36201,160.787334
T46479,100.353235
T43110,2485.633347
T82336,1253.303757
T55238,1584.743658
T61950,1164.874785
T75868,900.57113
T50232,212.33884
T52576,978.425087
T57766,179.755671
T53779,241.067791
T26177,80.689751
T46391,562.517065
T46585,1327.099936
T57767,839.643578
T43025,1605.762412
T60204,217.506144
T53335,1501.562483
T42463,1497.819413
T59162,376.983992
T58232,312.745554
T76289,323.52479
T76859,236.094472
T30414,316.755998
T53401,1958.032555
T54282,1206.641868
T49917,578.851641
T79368,186.832006
T61371,1468.527888
T76120,794.42369
T46452,98.829761
T52097,340.293371
T55053,455.071163
T54729,76.349648
T47844,148.415356
T42506,492.766826
T79237,1308.552046
T60750,222.575535
T25606,900.985132
T44141,200.566964
T51729,1028.374213
T59700,144.333945
T62508,263.081887
T31812,1096.74615
TAAI07,29.646571
T51994,700.240124
T58490,333.352816
T59746,337.461813
TA2514,123.718987
T45427,127.865895
T50813,46.899525
T79557,668.723718
T53698,145.419808
T54797,1349.078837
T61431,578.306045
T59826,271.396243
T75123,273.429159
T54131,1098.60548
T57558,982.83828
TA2555,69.049357
T43841,551.102256
T47344,561.548404
T43460,1070.066728
TA0689,1207.966581
T56194,80.001345
T80605,109.181649
T76001,1499.362678
T51026,1171.15522
T55244,180.3665
T74369,1849.19457
T57156,236.978472
T35033,2414.958325
T46472,728.293217
T49304,1510.396799
T58470,966.588004
T44188,29.096698
T60400,1212.300239
T54284,704.608178
T53550,846.139098
T59260,269.012183
T58381,157.161936
TA0719,1131.641086
T77293,405.172404
T30443,566.661316
T53570,3840.844571
T57693,1122.123335
T50869,1292.929227
T79572,918.234316
T74473,589.637746
T76267,683.309886
T49440,2200.229874
T52694,549.175111
T55539,928.823965
T57886,1089.886481
T49920,714.029586
T46200,2175.517051
T84428,146.427858
T62641,184.666853
T27008,789.368066
T45356,741.676618
T53590,1283.25042
T60480,2037.904286
T75488,1014.349491
T36158,1052.459413
TB1634,364.931588
T54151,176.439453
T60327,6713.884355
T60458,3359.462305
TA3095,303.864653
T47490,85.876074
T54551,236.121134
T84843,51.420982
T56419,1346.279436
T61412,826.18413
T73768,1211.201647
T61988,508.259418
T78391,995.288044
T56396,417.130462
T60449,4803.090064
TA2584,71.190869
T46341,1477.154404
T48386,341.337726
T48345,114.869351
TA2580,38.754228
T58706,809.56755
T84495,285.516961
T76341,312.330001
T57154,865.348421
T55295,545.042719
T76838,1375.521209
T59649,169.125735
T36316,219.693663
T47243,4290.648913
T49424,277.293087
T76419,366.41073
T47910,587.229028
T60720,227.620184
T57392,937.708609
T56348,1226.897799
T60392,1834.595743
T60994,3013.734998
TA2837,41.381478
T94503,222.870392
T41835,649.021152
T53733,533.572314
T58044,1952.443942
T57575,847.219777
T84754,231.416392
T84923,641.38753
TA0900,107.981947
T49696,633.263779
T53295,3283.171616
T56241,482.361893
T60309,761.33525
T50368,191.493204
T50331,979.979761
TA2843,111.828311
